INFO:root:So should this
INFO:root:So should this
INFO:root:[1369753245: [1, 2, Enzo] ], 
INFO:root:[1369753246: [1, 2, Enzo] ], 
INFO:root:[1369753247: [1, 2, Enzo] ], 
INFO:root:[1369753248: [1, 2, Enzo] ], 
INFO:root:[1369753248: [1, 2, Enzo] ], 
INFO:root:[1369753249: [1, 2, Enzo] ], 
INFO:root:[1369753249: [1, 2, Enzo] ], 
INFO:root:[1369753250: [1, 2, Enzo] ], 
INFO:root:[1369753250: [1, 2, Enzo] ], 
INFO:root:[1369753250: [1, 2, Enzo] ], 
INFO:root:[1369753250: [1, 2, Enzo] ], 
INFO:root:[1369753250: [1, 2, Enzo] ], 
INFO:root:[1369753251: [1, 2, Enzo] ], 
INFO:root:[1369753251: [1, 2, Enzo] ], 
INFO:root:[1369753252: [1, 2, Enzo] ], 
INFO:root:[1369753252: [1, 2, Enzo] ], 
INFO:root:[1369753252: [1, 2, Enzo] ], 
INFO:root:[1369753252: [1, 2, Enzo] ], 
INFO:root:[1369753253: [1, 2, Enzo] ], 
INFO:root:[1369759534: [1, 1, Andrea] ], 
INFO:root:[1369759536: [1, 1, Andrea] ], 
INFO:root:[1369759548: [1, 1, Ffeiipe] ], 
INFO:root:[1369759565: [1, 1, Alejandra] ], 
INFO:root:[1369759566: [1, 2, Andrea] ], 
INFO:root:[1369759566: [1, 2, Andrea] ], 
INFO:root:[1369759566: [1, 1, Alejandra] ], 
INFO:root:[1369759567: [1, 2, Andrea] ], 
INFO:root:[1369759567: [1, 2, Andrea] ], 
INFO:root:[1369759568: [1, 2, Andrea] ], 
INFO:root:[1369759568: [1, 2, Andrea] ], 
INFO:root:[1369759569: [1, 2, Andrea] ], 
INFO:root:[1369759569: [1, 2, Andrea] ], 
INFO:root:[1369759569: [1, 2, Andrea] ], 
INFO:root:[1369759570: [1, 2, Andrea] ], 
INFO:root:[1369759570: [1, 2, Andrea] ], 
INFO:root:[1369759571: [1, 1, Ffeiipe] ], 
INFO:root:[1369759573: [1, 1, Ffeiipe] ], 
INFO:root:[1369759582: [1, 1, Ffeiipe] ], 
INFO:root:[1369759582: [1, 1, Ffeiipe] ], 
INFO:root:[1369759582: [1, 1, Ffeiipe] ], 
INFO:root:[1369759582: [1, 1, Ffeiipe] ], 
INFO:root:[1369759583: [1, 1, Ffeiipe] ], 
INFO:root:[1369759583: [1, 1, Ffeiipe] ], 
INFO:root:[1369759584: [1, 1, Ffeiipe] ], 
INFO:root:[1369759584: [1, 1, Ffeiipe] ], 
INFO:root:[1369759584: [1, 1, Ffeiipe] ], 
INFO:root:[1369759585: [1, 1, Ffeiipe] ], 
INFO:root:[1369759585: [1, 1, Ffeiipe] ], 
INFO:root:[1369759585: [1, 1, Ffeiipe] ], 
INFO:root:[1369759585: [1, 1, Ffeiipe] ], 
INFO:root:[1369759585: [1, 1, Ffeiipe] ], 
INFO:root:[1369759585: [1, 1, Ffeiipe] ], 
INFO:root:[1369759586: [1, 1, Ffeiipe] ], 
INFO:root:[1369759586: [1, 1, Ffeiipe] ], 
INFO:root:[1369759586: [1, 1, Ffeiipe] ], 
INFO:root:[1369759586: [1, 1, Ffeiipe] ], 
INFO:root:[1369759588: [1, 1, Ffeiipe] ], 
INFO:root:[1369759588: [1, 1, Ffeiipe] ], 
INFO:root:[1369759588: [1, 1, Ffeiipe] ], 
INFO:root:[1369759588: [1, 1, Ffeiipe] ], 
